cliques,network_int,connections,conversations,prototypes,dimensions,adaptiveness,degrade,copy_player,starting_distance_network,network_distance,clique_1_distance,clique_2_distance,clique_3_distance,clique_4_distance,clique_5_distance
5.0,1.0,8.0,1000.0,5.0,7.0,5.0,0.01,5.0,2.416918924334316,0.747057658961045,0.6419134637353742,0.6047363854231218,0.594549606927424,0.6040410557519266,0.5928775401563514
5.0,2.0,9.0,1000.0,5.0,7.0,5.0,0.01,4.0,2.3581356322476275,0.7760168659318772,0.5710642709095014,0.6086130199394781,0.5843711324465207,0.6029022482285585,0.6018824219204331
5.0,3.0,5.0,1000.0,5.0,7.0,5.0,0.01,5.0,2.3464003279212773,0.7171432725924731,0.6253320647835006,0.6106052361649253,0.6002030674468571,0.6424360012986507,0.6452938852409593
5.0,4.0,6.0,1000.0,5.0,7.0,5.0,0.01,5.0,2.4017269920863566,0.7323134812850164,0.5886624332156668,0.6167837215318934,0.6310309514733062,0.6099069262041663,0.6120045986935535
5.0,5.0,6.0,1000.0,5.0,7.0,5.0,0.01,2.0,2.375426545287123,0.7466498740505121,0.5947656190539508,0.6067830308087554,0.5898809244684206,0.5917084144641148,0.6366850375827765
5.0,6.0,7.0,1000.0,5.0,7.0,5.0,0.01,5.0,2.450852834864495,0.7370154681762925,0.5901584313507756,0.5946018200738932,0.5761429516140941,0.6279793796715809,0.6321390075138491
5.0,7.0,7.0,1000.0,5.0,7.0,5.0,0.01,5.0,2.3865693818539744,0.7521515998367603,0.6177669986024531,0.6151219380389039,0.5881619185245901,0.6295718714655346,0.596848548046209
5.0,8.0,10.0,1000.0,5.0,7.0,5.0,0.01,4.0,2.3464852487178547,0.7931399171436577,0.6170247919008709,0.6409643974895938,0.5742548666207876,0.6414691857549719,0.6496600698182466
5.0,9.0,7.0,1000.0,5.0,7.0,5.0,0.01,5.0,2.455817667481192,0.7450012576872931,0.6242145612222246,0.642820649375649,0.5858823216868492,0.573710566422158,0.6006594251551503
5.0,10.0,5.0,1000.0,5.0,7.0,5.0,0.01,4.0,2.4168655800265717,0.7310402486543722,0.6207401200152658,0.6045116055248999,0.5981081196461725,0.6267390478656479,0.605621303879123
5.0,11.0,6.0,1000.0,5.0,7.0,5.0,0.01,2.0,2.4347964015264085,0.7648756570714027,0.6138186782110259,0.6316698806540675,0.6109707701017809,0.6294637378104772,0.616856105385125
5.0,12.0,9.0,1000.0,5.0,7.0,5.0,0.01,5.0,2.39572122982874,0.7422056293939989,0.5977519811323958,0.6053741503666764,0.5985488024779726,0.5770884067000264,0.639383764722767
5.0,13.0,5.0,1000.0,5.0,7.0,5.0,0.01,3.0,2.4334168156571376,0.6991856818530472,0.6206397967291021,0.6221060397128411,0.6003532668909859,0.5832493463043739,0.568139367631168
5.0,14.0,10.0,1000.0,5.0,7.0,5.0,0.01,2.0,2.402321656075673,0.836627664496786,0.5956064175750635,0.6282590117366147,0.5897149262677835,0.6288288362860295,0.5869364418843648
5.0,15.0,5.0,1000.0,5.0,7.0,5.0,0.01,2.0,2.402746884247449,0.7575680851705572,0.6191893793971808,0.6274518152426863,0.6348143938068939,0.644157721162757,0.6010484475849694
5.0,16.0,10.0,1000.0,5.0,7.0,5.0,0.01,4.0,2.429417091747842,0.7720427467999396,0.644415363289086,0.595124344793455,0.6052545187101573,0.5953446329924391,0.592895065425979
5.0,17.0,6.0,1000.0,5.0,7.0,5.0,0.01,5.0,2.376723238955354,0.7131450297873789,0.6423762809659368,0.618941715430489,0.6309778300662048,0.5678357897836849,0.6340942110578552
5.0,18.0,10.0,1000.0,5.0,7.0,5.0,0.01,5.0,2.3559068863909456,0.7544866241486224,0.6409565053900949,0.6155234761233942,0.629895831139679,0.5697759902290754,0.6434083336775215
5.0,19.0,7.0,1000.0,5.0,7.0,5.0,0.01,3.0,2.4202691086023416,0.787167674145497,0.5958643837291344,0.6142622495179947,0.6099429937059977,0.6131693844549837,0.6288444529911477
5.0,20.0,5.0,1000.0,5.0,7.0,5.0,0.01,5.0,2.394276058307049,0.687039347641056,0.6310221656637428,0.5943388387286093,0.6104497752916157,0.6000331307856069,0.6202631299519782
5.0,21.0,7.0,1000.0,5.0,7.0,5.0,0.01,2.0,2.369621272476003,0.7589090741262637,0.590332885437775,0.6135466546294781,0.6422288010389589,0.601845702513274,0.6192737611520771
5.0,22.0,7.0,1000.0,5.0,7.0,5.0,0.01,4.0,2.40971985690765,0.7487404160522373,0.5883757508479002,0.5976212201150839,0.633579744232735,0.5674507496260018,0.63653803407268
5.0,23.0,10.0,1000.0,5.0,7.0,5.0,0.01,5.0,2.4268857496082554,0.7625211908642394,0.5870397039670513,0.6188188811175939,0.6196839447490966,0.6314063367486751,0.5728949449437873
5.0,24.0,8.0,1000.0,5.0,7.0,5.0,0.01,2.0,2.415879304059682,0.809486165038868,0.6300558027123282,0.6168102788394693,0.5840604509654841,0.6247600106709081,0.6173980069796877
5.0,25.0,7.0,1000.0,5.0,7.0,5.0,0.01,5.0,2.40684668645958,0.7432622868307824,0.6339815462311943,0.5964439693806088,0.6324098251780848,0.6348979136331641,0.6033682701727359
5.0,26.0,7.0,1000.0,5.0,7.0,5.0,0.01,4.0,2.414273575804339,0.7534698410806226,0.6293987390479324,0.6165635846589917,0.6250691009213705,0.6428617236193676,0.5925425747657158
5.0,27.0,8.0,1000.0,5.0,7.0,5.0,0.01,4.0,2.458473111315731,0.7674579358166203,0.5873734283446124,0.598465227717998,0.6195631908440061,0.6051357006238741,0.623649775032369
5.0,28.0,10.0,1000.0,5.0,7.0,5.0,0.01,2.0,2.4161285576035394,0.8568486813529508,0.6331867304348753,0.6579988627429667,0.5917060916151593,0.6396339743818453,0.6050179306126066
