cliques,network_int,connections,conversations,prototypes,dimensions,adaptiveness,degrade,starting_distance_network,network_distance,clique_1_distance,clique_2_distance
2.0,39.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.451466715377413,0.6662283383529237,0.6274816071965533,0.6078272014934301
2.0,40.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.406443355813772,0.6576115592431323,0.6154976685412704,0.6082652318208512
2.0,41.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.401593109835387,0.664263081463339,0.6157685851519457,0.6072838561233417
2.0,42.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.398111598629694,0.7081805944563593,0.629406364910427,0.6127798549908026
2.0,43.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4174961756244824,0.6807830668668989,0.6129929375841454,0.5914994297444501
2.0,44.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.3728473244833586,0.6860766463832354,0.6068630804562484,0.6195398671292409
2.0,45.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4239839410196544,0.6788245631161164,0.5952940802833845,0.6176205645295888
2.0,46.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.3586437401068947,0.6921743106238047,0.6198378026654857,0.6125769863381191
2.0,47.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.373264276726367,0.6800838812828064,0.6075147194591288,0.6195654378335708
2.0,48.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.3336020648438542,0.6932586888500316,0.5942341555225821,0.610167207150634
2.0,49.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.428584198420766,0.6939101550946856,0.6051919810651716,0.6318111258160095
2.0,50.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.43608863891098,0.6776679353658407,0.5875990262757345,0.6131545933076231
2.0,51.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.3939188447847863,0.6733284070252369,0.6487862260023767,0.5910318682039446
2.0,52.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.447704155256129,0.6464327164773154,0.5871057825255778,0.5974486567781041
2.0,53.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4166130966108725,0.7094410712322438,0.6177117341337406,0.6012259340167365
2.0,54.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.3194759003154384,0.6985360933625301,0.6169233859060097,0.5860598455764734
2.0,55.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.450737275970535,0.6899048951193517,0.6130499850787385,0.622564268337367
2.0,56.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.392795376555265,0.690146385327611,0.6424299010514238,0.6074532325836625
2.0,57.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.455391212391378,0.70210345031311,0.6054369981322156,0.6115046572397352
2.0,58.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.35948584989618,0.6707318819013259,0.5967021042971369,0.6187624746382637
2.0,59.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4672786814045273,0.661071943099639,0.562300997529895,0.5873327016808683
2.0,60.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.446918423287675,0.7178868689330932,0.626533293599438,0.5937635657886252
2.0,61.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.358135361628386,0.669542886170589,0.6183686960497343,0.6275334190366362
2.0,62.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.3815658655424086,0.6797050757346055,0.6103383542418135,0.6332458508721892
2.0,63.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.3619225700636126,0.6685114186935391,0.5898429098578135,0.6088868241393285
2.0,64.0,2.0,2500.0,5.0,7.0,5.0,0.01,2.4400460086631903,0.6864111207768896,0.6281720686120787,0.6210323807963664
