cliques,network_int,connections,conversations,prototypes,dimensions,adaptiveness,degrade,starting_distance_network,network_distance,clique_1_distance,clique_2_distance,clique_3_distance,clique_4_distance
4.0,1.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.4129803291280116,0.7528767857912277,0.6504208668032477,0.6009627645785529,0.5901506909714782,0.614162072621742
4.0,2.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.3867151978040724,0.707412941595389,0.6507359599517052,0.5963610081630798,0.5616902532337263,0.591718741333236
4.0,3.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.3904243085408625,0.771099627249589,0.6317918361494621,0.6459202383996783,0.6193984570015221,0.6095916861278429
4.0,4.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.4396375362085783,0.7495041857184584,0.6122755468576969,0.6096669776939916,0.5525436899452757,0.6192248790687397
4.0,5.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.377061285337174,0.7540110674922513,0.5789492549572962,0.6427722045145112,0.63122909750485,0.6273686538806881
4.0,6.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.4982401354765726,0.7648319860488318,0.6174033982582838,0.601135017092948,0.6086836634672003,0.6501233524957775
4.0,7.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.467850169328421,0.7624263413906749,0.6448718421368532,0.6451679560059452,0.5646613637095951,0.5829678175036157
4.0,8.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.3864415990393613,0.7567149241533859,0.6312868438390454,0.6155522533697514,0.622682030107312,0.6214390092283989
4.0,9.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.454077940196384,0.8037649848556468,0.6372572935281607,0.6489831453821282,0.6245397049453738,0.6274532018831619
4.0,10.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.384653690183449,0.7627366385622575,0.6007757733081369,0.6424212844378567,0.6154303629921521,0.6107033298157477
4.0,11.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.4179113285641423,0.7612244070275697,0.6064320975049434,0.6039853143711703,0.6302444357767277,0.6541899491038965
4.0,12.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.4786444410908293,0.7483637781801048,0.6015798400518422,0.574080377243332,0.5692924677470248,0.6024183121869483
4.0,13.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.396257715543183,0.7372315710810444,0.6462624557402858,0.5903385575087802,0.6193052262214157,0.6256674275835999
4.0,14.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.3543491803266665,0.7484244885225773,0.6067807372047996,0.6180550089814748,0.6131577193940033,0.6022000333076222
4.0,15.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.394182574155664,0.7458792786554745,0.5843792555675382,0.6200359072182894,0.6275581350257713,0.607414728268976
4.0,16.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.37606842841213,0.7307269239987834,0.6521053412643634,0.610007029747337,0.6336069632914768,0.6205716238095816
4.0,17.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.3596377248241804,0.7346862638889141,0.6076792007490927,0.6307333611524516,0.6136355993480692,0.6066757099186528
4.0,18.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.3990706950487874,0.7913690217191293,0.6492824676880926,0.6500548455657633,0.6389724311424987,0.6577422865696424
4.0,19.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.4649634384192836,0.7669041027141297,0.6178589127556993,0.6037864488229607,0.6167964922074494,0.6142464387975727
4.0,20.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.415000304591897,0.7715581876775135,0.5895406128148291,0.5866959536647602,0.6210265964945941,0.6457280554768258
4.0,21.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.4050405455387702,0.7487257435502659,0.5692078627038059,0.6296435429319585,0.6179550919999023,0.5838397214879362
4.0,22.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.3295426995023263,0.7486728223285227,0.6154828274782512,0.6000488611335204,0.613157852090504,0.6390683422626372
4.0,23.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.4563346714050307,0.797181703849995,0.6469057631783605,0.5705362750940212,0.6372478251378586,0.6000085984301103
4.0,24.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.362799798706502,0.747487697312322,0.569849544567159,0.6350824230130717,0.6082017345256413,0.624365041792758
4.0,25.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.4292866946026934,0.7581598541638376,0.6420521826532481,0.597070426296817,0.645109732635003,0.6333149238795012
4.0,26.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.5084352395866074,0.7719145880394268,0.6490753846455769,0.6408448354771235,0.6386907925783581,0.632370858013266
4.0,27.0,4.0,2500.0,5.0,7.0,5.0,0.01,2.41886251102398,0.7966380422252003,0.6265292702794857,0.6135352965286143,0.6534954260949442,0.6098556930808962
