cliques,network_int,connections,conversations,prototypes,dimensions,adaptiveness,degrade,starting_distance_network,network_distance,clique_1_distance,clique_2_distance,clique_3_distance
3.0,1.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.417316305427784,0.7488494796359177,0.6114243839682568,0.6150331808094787,0.6202626755443923
3.0,2.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.443450246367027,0.7638295499249704,0.6012443558241957,0.5973515510976607,0.6384811253684154
3.0,3.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.365059975811878,0.7026215508996086,0.5638149158290127,0.5829908555910457,0.6454347408474925
3.0,4.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.4869834279010887,0.7427245669667638,0.6138934642451276,0.6041416401965378,0.6393809504225164
3.0,5.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.420626899597433,0.7639671244762951,0.6325420279974532,0.6031785155143138,0.6044825093439619
3.0,6.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.3649266582643604,0.7083797569276434,0.5924029606862776,0.590567918565812,0.5981118963662876
3.0,7.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.3301982452174133,0.7120595706786763,0.622296134931999,0.5892773380437629,0.6082852425950726
3.0,8.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.3608341902986356,0.7149468308756851,0.6418018173459298,0.6126343271930959,0.5811232382489112
3.0,9.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.444386878758344,0.7051522846031907,0.6074667974300889,0.5905000943112225,0.5819757319734358
3.0,10.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.3866745242699055,0.7087386494131351,0.6185020074812692,0.6134565709103602,0.5809884682411914
3.0,11.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.3699455173146973,0.7665359362723669,0.6220117714162458,0.6266995399158726,0.5923760682895926
3.0,12.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.371743561034593,0.7353701830722211,0.5943517595361685,0.6234854870210447,0.632814779707876
3.0,13.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.4057581194542474,0.7210906641527062,0.6107414455250406,0.6120856723764676,0.6075974062982371
3.0,14.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.423216188034276,0.6923364925951769,0.6096715334335211,0.6045208600379677,0.5911440173160971
3.0,15.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.450929399193203,0.6984291845806636,0.584559344116877,0.5890864761102865,0.5999959743585995
3.0,16.0,3.0,2500.0,5.0,7.0,5.0,0.01,2.4010256711148825,0.7065770940826676,0.6214737140085429,0.6357907185333206,0.6054217325491048
