Update,Adaptive Player 1 ,Adaptive Player 2,Nonadaptive Player 1,Nonadaptive Player 2,,,
1,0.620790769,0.874270389,0.83291633,0.380873054,,,
9,0.620790769,0.800717005,0.757640072,0.380873054,,,
11,0.620790769,0.746519221,0.757640072,0.429386026,,,
23,0.620790769,0.719099765,0.757640072,0.481985553,,,
35,0.637460506,0.719099765,0.767556683,0.481985553,,,
44,0.616696477,0.719099765,0.767556683,0.498082948,,,
49,0.599071594,0.719099765,0.740039085,0.498082948,,,
54,0.599071594,0.6963331,0.713696199,0.498082948,,,
63,0.599071594,0.638392676,0.690103458,0.498082948,,,
85,0.58940557,0.638392676,0.664076131,0.498082948,,,
116,0.58940557,0.578601218,0.664076131,0.472763972,,,
120,0.552461921,0.578601218,0.615313968,0.472763972,,,
178,0.552461921,0.608727402,0.615313968,0.508739749,,,
199,0.563496557,0.608727402,0.585356622,0.508739749,,,
210,0.59774975,0.608727402,0.585356622,0.482747119,,,
303,0.546268726,0.608727402,0.585356622,0.500083585,,,
372,0.591087161,0.608727402,0.585356622,0.523897637,,,
387,0.591087161,0.606522549,0.585356622,0.537339483,,,
389,0.591087161,0.589370123,0.585356622,0.527816676,,,
426,0.591087161,0.590579511,0.585356622,0.513911514,,,
457,0.591087161,0.596434886,0.580524988,0.513911514,,,
473,0.591965087,0.596434886,0.580524988,0.531595867,,,
575,0.591965087,0.539473251,0.580524988,0.53618424,,,
604,0.561708056,0.539473251,0.580524988,0.549317102,,,
662,0.561708056,0.496499217,0.567934753,0.549317102,,,
672,0.561708056,0.539830278,0.567934753,0.549062433,,,
694,0.57237492,0.539830278,0.567934753,0.540501223,,,
728,0.524428578,0.539830278,0.567934753,0.541335001,,,
826,0.524428578,0.557534308,0.567934753,0.542843351,,,
857,0.551120874,0.557534308,0.567934753,0.548186619,,,
878,0.551120874,0.534388285,0.567934753,0.545778863,,,
893,0.543271937,0.534388285,0.567934753,0.543996946,,,
915,0.543271937,0.511481528,0.567934753,0.538660403,,,
936,0.517959442,0.511481528,0.567934753,0.535201595,,,
984,0.517959442,0.517867837,0.567934753,0.536729876,,,
1038,0.517959442,0.532032033,0.567934753,0.538330191,,,
1049,0.521678589,0.532032033,0.567934753,0.537721448,,,
1052,0.558762564,0.532032033,0.565681007,0.537721448,,,
1074,0.558762564,0.568123189,0.565681007,0.538758268,,,
1091,0.559883308,0.568123189,0.565681007,0.538566602,,,
1104,0.569868372,0.568123189,0.564364161,0.538566602,,,
1108,0.569868372,0.596369068,0.564364161,0.540339117,,,
1109,0.595043802,0.596369068,0.564489977,0.540339117,,,
1121,0.542325798,0.596369068,0.564489977,0.540971626,,,
1148,0.542325798,0.561683756,0.564489977,0.541461149,,,
1155,0.542325798,0.506438812,0.564489977,0.540831843,,,
1158,0.542325798,0.54339325,0.564489977,0.540434139,,,
1212,0.500913027,0.54339325,0.564489977,0.54030281,,,
1238,0.500913027,0.544562503,0.564489977,0.540557804,,,
1245,0.550788743,0.544562503,0.564489977,0.54037951,,,
1247,0.550788743,0.565570226,0.564489977,0.540437993,,,
1314,0.55861633,0.565570226,0.564489977,0.540292687,,,
1341,0.592721414,0.565570226,0.564489977,0.54015135,,,
1352,0.592721414,0.602937897,0.564489977,0.540231304,,,
1368,0.593123703,0.602937897,0.564465058,0.540231304,,,
1372,0.545011229,0.602937897,0.564465058,0.540306919,,,
1380,0.583955869,0.602937897,0.564465058,0.54029326,,,
1399,0.612446831,0.602937897,0.564465058,0.540278814,,,
1426,0.612446831,0.565526681,0.564465058,0.540308422,,,
1429,0.553802963,0.565526681,0.564465058,0.540340601,,,
1437,0.541012206,0.565526681,0.56444506,0.540340601,,,
1471,0.541012206,0.542705902,0.564417166,0.540340601,,,
1476,0.516608902,0.542705902,0.564417166,0.540320748,,,
1503,0.516608902,0.55708033,0.564417166,0.540300002,,,
1504,0.516608902,0.522122466,0.564417166,0.540312702,,,
1532,0.516608902,0.535488169,0.564417166,0.540301464,,,
1541,0.516608902,0.482726588,0.564417166,0.540295341,,,
1543,0.516608902,0.50521256,0.564417166,0.540301482,,,
1552,0.556457547,0.50521256,0.564417166,0.540296301,,,
1570,0.592946439,0.50521256,0.564417166,0.540300492,,,
1587,0.571277049,0.50521256,0.564417166,0.540299812,,,
1639,0.5159178,0.50521256,0.564417166,0.540300219,,,
1657,0.5159178,0.520366552,0.564417166,0.540300245,,,
1664,0.5159178,0.530276571,0.564416767,0.540300245,,,
1671,0.470133433,0.530276571,0.564416767,0.54030038,,,
1677,0.505536789,0.530276571,0.564416767,0.540300708,,,
1686,0.542198552,0.530276571,0.564416767,0.540301541,,,
1711,0.538602598,0.530276571,0.564416499,0.540301541,,,
1713,0.488704295,0.530276571,0.564416499,0.540301522,,,
1728,0.488704295,0.543565645,0.564416499,0.540301558,,,
1729,0.488704295,0.495849985,0.564416499,0.540301919,,,
1773,0.503184764,0.495849985,0.564416499,0.54030191,,,
1785,0.503184764,0.531706541,0.564416499,0.540301956,,,
1822,0.503184764,0.52821728,0.564416499,0.540302007,,,
1836,0.519846162,0.52821728,0.564416499,0.540302049,,,
1839,0.519846162,0.503482945,0.564416499,0.540302065,,,
1865,0.519846162,0.518215716,0.564416499,0.540302083,,,
